company,benchmark,model_variance,agent_variance,agent_delta_vs_terminus,model_range,dominant
OpenAI,aider-polyglot,0.08100195234583334,0.014205136526833334,0.11911100000000001,0.545778,model
OpenAI,aime,0.012372262777833331,0.011587100740833328,0.09666699999999995,0.16833350000000002,model
OpenAI,algotune,0.01630559831416667,0.0014534506941666662,-0.02559633333333333,0.24730449999999998,model
OpenAI,arc-agi-2,0.046952666666666684,0.04404933333333333,0.17466666666666666,0.28300000000000003,model
OpenAI,bfcl,0.006014090266000003,0.0006860858220000017,-0.033062000000000036,0.1536590000000001,model
OpenAI,bigcodebench,0.020206736242666667,0.007373458676333333,-0.09011533333333334,0.26206899999999994,model
OpenAI,bixbench,0.019831999999999995,0.0054853333333333325,0.084,0.26599999999999996,model
OpenAI,codepde,0.034133333333333335,0.021600000000000008,-0.20000000000000004,0.33999999999999997,model
OpenAI,compilebench,0.12251858814816668,0.010103722963000002,-0.03111133333333337,0.6733335,model
OpenAI,crmarena,0.044444558058333326,0.029320032656,0.13528533333333334,0.34146899999999997,model
OpenAI,crustbench,0.15344133333333337,0.012379333333333334,0.013999999999999993,0.741,model
OpenAI,dacode,0.03043967786383333,0.0036207714363333324,0.02179933333333331,0.327608,model
OpenAI,deepsynth,0.037236952100666666,0.022884713459500005,0.19220233333333336,0.36470349999999996,model
OpenAI,featurebench-modal,0.01818245794016667,0.017641698855666667,0.12684666666666666,0.2043245,model
OpenAI,financeagent_terminal,0.07059200000000002,0.04677333333333334,0.296,0.52,model
OpenAI,gaia,0.02285670786666667,0.064165086526,0.35151533333333335,0.28787900000000005,agent
OpenAI,gaia2,0.009446310419666667,0.005330381071,0.08425333333333333,0.1781555,model
OpenAI,gpqa-diamond,0.016815762527666662,0.004099037231000004,0.05084133333333337,0.23181799999999997,model
OpenAI,gso,0.021334086947333332,0.00918430144816667,0.10392166666666669,0.257843,model
OpenAI,hle,0.021574345467666674,0.021182442339166673,0.17563566666666666,0.2626510000000001,model
OpenAI,humanevalfix,0.04371329670833334,0.03694952938733333,-0.15243933333333332,0.2749999999999999,model
OpenAI,ineqmath,0.0014203333333333336,0.0022088333333333313,0.06166666666666665,0.0655,agent
OpenAI,kumo,0.03192805327816666,0.003157392440999999,0.07672933333333332,0.3306605,model
OpenAI,labbench,0.049073021842333336,0.0522974926,0.27265200000000006,0.387707,agent
OpenAI,livecodebench,0.06774220833333333,0.030323708333333334,-0.09949999999999998,0.392,model
OpenAI,medagentbench,0.02650333333333333,0.023825333333333337,0.20000000000000004,0.302,model
OpenAI,mmau,0.056219999999999985,0.037312000000000005,-0.14400000000000004,0.36599999999999994,model
OpenAI,mmmlu,0.007731871481500004,0.14463592548150003,0.528889,0.12333349999999998,agent
OpenAI,omnimath,0.015027333333333328,0.017148833333333325,0.09366666666666663,0.14149999999999996,agent
OpenAI,qcircuitbench,0.06556772105616666,0.009089588734833334,-0.04914966666666667,0.48793,model
OpenAI,quixbugs,0.11616345356483332,0.0036857839815000004,0.019305666666666648,0.5939585,model
