benchmark,model,harbor_agent,score_harbor,score_doc,delta,abs_delta,doc_model_matched,doc_agent_matched,match_status,doc_metric,doc_slice_date
terminalbench_2_0,gemini-3-flash-preview,gemini-cli,0.523596,0.47415730337078654,0.04943869662921341,0.04943869662921341,Gemini 3 Flash,Gemini CLI,matched_model_and_agent,accuracy,2026-04-02
swe_bench_pro,gpt-5.4,codex,0.542,0.591,-0.04899999999999993,0.04899999999999993,gpt-5.4,mini-swe-agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04
bfcl,gpt-5-mini,codex,0.762602,0.72183,0.04077200000000003,0.04077200000000003,GPT-5-mini-2025-08-07,FC,matched_model_agent_mismatch,accuracy (overall),2026-04-12
terminalbench_2_0,claude-opus-4-6,claude-code,0.608989,0.5797752808988764,0.02921371910112358,0.02921371910112358,Claude Opus 4.6,Claude Code,matched_model_and_agent,accuracy,2026-04-02
terminalbench_2_0,gpt-5-nano,terminus-2,0.107865,0.07865168539325842,0.029213314606741578,0.029213314606741578,GPT-5-Nano,Terminus 2,matched_model_and_agent,accuracy,2026-04-02
hle,kimi-k2.5,claude-code,0.21747,0.2437,-0.026230000000000003,0.026230000000000003,kimi-k2.5,,matched_model_only_doc_no_agent,accuracy,2026-04-20
algotune,claude-opus-4-6,claude-code,0.304273,0.2781151069795546,0.02615789302044541,0.02615789302044541,Claude Opus 4.6 (high),AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20
medagentbench,deepseek-chat,claude-code,0.65,0.6267,0.023299999999999987,0.023299999999999987,DeepSeek-V3,MedAgentBench agent orchestrator,matched_model_agent_mismatch,overall_sr,2025-02-12
terminalbench_2_0,claude-haiku-4-5-20251001,terminus-2,0.305618,0.28314606741573034,0.02247193258426966,0.02247193258426966,Claude Haiku 4.5,Terminus 2,matched_model_and_agent,accuracy,2026-04-02
terminalbench_2_0,gpt-5-mini,codex,0.366292,0.34831460674157305,0.017977393258426955,0.017977393258426955,GPT-5-Mini,spoox-m,matched_model_agent_mismatch,accuracy,2026-04-02
terminalbench_2_0,MiniMax-M2.5,claude-code,0.411236,0.42696629213483145,-0.01573029213483146,0.01573029213483146,minimax-m2.5,cchuter,matched_model_agent_mismatch,accuracy,2026-04-02
terminalbench_2_0,claude-opus-4-6,terminus-2,0.61573,0.6292134831460674,-0.013483483146067399,0.013483483146067399,Claude Opus 4.6,Terminus 2,matched_model_and_agent,accuracy,2026-04-02
terminalbench_2_0,MiniMax-M2.5,terminus-2,0.408989,0.42247191011235957,-0.01348291011235958,0.01348291011235958,Minimax m2.5,Terminus 2,matched_model_and_agent,accuracy,2026-04-02
compilebench,qwen3-max,terminus-2,0.653333,0.6667,-0.013366999999999907,0.013366999999999907,qwen3-max,,matched_model_only_doc_no_agent,accuracy (pass@1),2026-04
terminalbench_2_0,gpt-5-mini,terminus-2,0.252809,0.24044943820224718,0.012359561797752827,0.012359561797752827,GPT-5-Mini,Terminus 2,matched_model_and_agent,accuracy,2026-04-02
aider_polyglot,deepseek-chat,claude-code,0.539556,0.551,-0.01144400000000001,0.01144400000000001,DeepSeek V3 (0324),aider,matched_model_agent_mismatch,pass rate,2025-11-20
terminalbench_2_0,gemini-3-flash-preview,terminus-2,0.51236,0.5168539325842697,-0.0044939325842696665,0.0044939325842696665,Gemini 3 Flash,Terminus 2,matched_model_and_agent,accuracy,2026-04-02
terminalbench_2_0,kimi-k2.5,terminus-2,0.429213,0.43202247191011234,-0.0028094719101123267,0.0028094719101123267,Kimi K2.5,Terminus 2,matched_model_and_agent,accuracy,2026-04-02
compilebench,deepseek-chat,claude-code,0.8,0.8,0.0,0.0,deepseek-v3.1,,matched_model_only_doc_no_agent,accuracy (pass@1),2026-04
