model,domain,mean_score,n_benchmarks
claude-opus-4-6,Scientific Research,0.4191251875,8
kimi-k2.5,Scientific Research,0.3882757272727273,6
deepseek-chat,Scientific Research,0.387672625,8
claude-sonnet-4-6,Scientific Research,0.37950873333333335,8
mimo-v2-pro,Scientific Research,0.3436758,8
gpt-5-mini,Scientific Research,0.3428989375,8
glm-5,Scientific Research,0.33712244444444445,6
claude-haiku-4-5-20251001,Scientific Research,0.3230405,8
deepseek-reasoner,Scientific Research,0.298263375,8
MiniMax-M2.5,Scientific Research,0.2921106,8
qwen3-max,Scientific Research,0.24712292307692307,7
gpt-5-nano,Scientific Research,0.115331125,8
claude-opus-4-6,Software Engineering,0.6452360740740741,15
gemini-3.1-pro-preview,Software Engineering,0.6088500357142858,15
glm-5,Software Engineering,0.6073111999999999,9
claude-sonnet-4-6,Software Engineering,0.5923909642857142,15
gpt-5.4,Software Engineering,0.591801935483871,17
kimi-k2.5,Software Engineering,0.5879919375,10
gemini-3-flash-preview,Software Engineering,0.5715696551724139,16
mimo-v2-pro,Software Engineering,0.5691542380952381,13
deepseek-reasoner,Software Engineering,0.5124999333333333,15
gpt-5-mini,Software Engineering,0.45527553125,17
deepseek-chat,Software Engineering,0.4471835,12
qwen3-max,Software Engineering,0.4455686,9
claude-haiku-4-5-20251001,Software Engineering,0.43330495999999996,14
MiniMax-M2.5,Software Engineering,0.41974500000000003,15
gpt-5-nano,Software Engineering,0.19184125,17
