match_status,n,mean_delta,median_delta,std_delta
matched_model_agent_mismatch,36,-0.0809791841418295,-0.11113437540338833,0.2250586047879781
matched_model_and_agent,11,0.018869708803626154,0.02247193258426966,0.02564153382533442
matched_model_only_doc_no_agent,36,0.12203394444444442,0.07321049999999998,0.2635884615936576
