domain,n_benchmarks,mean_best_score,mean_all_scores,median_all_scores,std_all_scores,min_best_score
Safety & Security,1,0.972167,0.9028459545454546,0.9154165,0.06668279197982946,0.972167
Mathematics & Reasoning,6,0.9115541666666666,0.6644100263157894,0.789598,0.31952333522022097,0.738
Knowledge & Long Context,4,0.81918675,0.6112685487804878,0.719106,0.2914830954958331,0.508434
Professional Domains,5,0.7115060000000001,0.5238617777777778,0.536,0.17403877289506298,0.649836
Multimodal,1,0.694,0.5620937500000001,0.584,0.14105014315683093,0.694
Software Engineering,17,0.6854611176470589,0.5067534535211268,0.51,0.3167070932771953,0.0
Scientific Research,8,0.6693662499999999,0.35746186407766994,0.3457555,0.22048816863718906,0.451961
"Agents, Tools & Systems",7,0.6478375714285713,0.4117110451612903,0.390244,0.22902354792996774,0.387608
Data & Analytics,1,0.554287,0.4188383181818182,0.4880325,0.14235551763626753,0.554287
