domain,superdomain,n_benchmarks,mean_absolute_progress,median_absolute_progress,mean_latest_best
Data & Analytics,Modified Agentic,2,0.36465,0.36465,0.9804999999999999
Knowledge & Long Context,Non-Agentic,4,0.257975,0.3242,0.717475
Multimodal,Non-Agentic,1,0.2549,0.2549,0.8404
Software Engineering,Agentic,11,0.17212232846602749,0.07500000000000001,0.6032066853293209
"Agents, Tools & Systems",Agentic,7,0.09672857142857143,0.05020000000000002,0.7679999999999999
Mathematics & Reasoning,Non-Agentic,3,0.045399999999999996,0.0050000000000000044,0.9344999999999999
Scientific Research,Agentic,1,0.0,0.0,0.85
Other,Uncategorized,3,-0.04750000000000002,0.0,0.5606666666666666
Professional Domains,Agentic,1,-0.3449,-0.3449,0.6437
