harbor_agent,n,mean_delta,median_delta,std_delta
claude-code,20,0.010403501077949445,-0.005722000000000005,0.25607979423499155
codex,12,-0.004746749689737223,-0.022472174157303376,0.24975493159507756
gemini-cli,7,0.05798006961034814,0.038202696629213495,0.282461678869783
terminus-2,35,0.04120824729084134,-0.013366999999999907,0.2633126432994434
