column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
dacode/dacode-di-text-017,17,11,0.39285714285714285,0.43529411764705883,0.4013816966878113,0.4,0.0,0.8,0.0,1.0,identity,0.4,0.8,0,0
dacode/dacode-di-text-018,16,12,0.42857142857142855,0.825,0.2817356917396161,1.0,0.8,1.0,0.2,1.0,identity,1.0,0.19999999999999996,0,0
dacode/dacode-di-text-019,21,7,0.25,0.08571428571428573,0.16983385238216195,0.0,0.0,0.0,0.0,0.6,identity,0.0,0.16983385238216195,0,0
dacode/dacode-di-text-020,18,10,0.35714285714285715,0.06666666666666667,0.11547005383792516,0.0,0.0,0.15000000000000002,0.0,0.4,identity,0.0,0.15000000000000002,0,0
dacode/dacode-di-text-021,16,12,0.42857142857142855,0.875,0.27271780286589287,1.0,0.95,1.0,0.0,1.0,identity,1.0,0.050000000000000044,0,0
dacode/dacode-di-text-022,16,12,0.42857142857142855,0.415625,0.4429019184593808,0.225,0.0,1.0,0.0,1.0,identity,0.225,1.0,0,0
dacode/dacode-di-text-023,17,11,0.39285714285714285,0.6705882352941177,0.3560646105981542,0.8,0.4,1.0,0.0,1.0,identity,0.8,0.6,0,0
dacode/dacode-di-text-024,18,10,0.35714285714285715,0.6222222222222222,0.4103596736137642,0.8,0.25,1.0,0.0,1.0,identity,0.8,0.75,0,0
dacode/dacode-di-text-025,18,10,0.35714285714285715,0.3055555555555556,0.36281648593901544,0.2,0.0,0.575,0.0,1.0,identity,0.2,0.575,0,0
dacode/dacode-di-text-026,19,9,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-di-text-027,20,8,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-di-text-028,16,12,0.42857142857142855,0.46249999999999997,0.35859970719452633,0.4,0.2,0.7,0.0,1.0,identity,0.4,0.49999999999999994,0,0
dacode/dacode-di-text-029,16,12,0.42857142857142855,0.1625,0.21469455046647085,0.0,0.0,0.25,0.0,0.6,identity,0.0,0.25,0,0
dacode/dacode-di-text-030,17,11,0.39285714285714285,0.6549019411764706,0.3580888400633811,0.8,0.4,1.0,0.0,1.0,identity,0.8,0.6,0,0
