component,r2,adj_r2,n_predictors,partial_r2_over_other_main_effects,adj_partial_r2_over_other_main_effects,permutation_p_value,type
all_main_effects,0.16624689691564354,0.1012917133032577,67,0.16624689691564354,0.1012917133032577,,combined
model,0.08634065613574682,0.07938890025851875,7,0.0735432268362417,0.0713767165747623,0.0,main_effect
benchmark,0.07912880565010094,0.018795865330624828,57,0.07912880565010116,0.024128713736019103,,main_effect
model:agent,0.18077934905391657,0.10128101369583509,82,0.014532452138273033,-1.069960742261511e-05,,interaction_increment
agent:benchmark,0.3896523060111996,0.10048916959043241,298,0.22340540909555606,-0.0008025437128252877,,interaction_increment
agent,0.01357486442930067,0.010372185417707458,3,0.0007774351297956672,-0.002289041129512781,0.837,main_effect
model:benchmark,0.5976588010969262,0.060528233291815,530,0.4314119041812826,-0.0407634800114427,,interaction_increment
